language,metric_value,date,source
assembly,75836,2020-01-01,github_octoverse
assembly,82361,2020-04-01,github_octoverse
assembly,77001,2020-07-01,github_octoverse
assembly,86670,2020-10-01,github_octoverse
assembly,84292,2021-01-01,github_octoverse
assembly,87587,2021-04-01,github_octoverse
assembly,81452,2021-07-01,github_octoverse
assembly,91955,2021-10-01,github_octoverse
assembly,94431,2022-01-01,github_octoverse
assembly,99207,2022-04-01,github_octoverse
assembly,96765,2022-07-01,github_octoverse
assembly,113481,2022-10-01,github_octoverse
assembly,118447,2023-01-01,github_octoverse
assembly,120467,2023-04-01,github_octoverse
assembly,114831,2023-07-01,github_octoverse
assembly,126457,2023-10-01,github_octoverse
assembly,122894,2024-01-01,github_octoverse
assembly,124340,2024-04-01,github_octoverse
assembly,116345,2024-07-01,github_octoverse
assembly,127466,2024-10-01,github_octoverse
assembly,131485,2025-01-01,github_octoverse
assembly,140949,2025-04-01,github_octoverse
assembly,135333,2025-07-01,github_octoverse
assembly,152084,2025-10-01,github_octoverse
c#,297141,2020-01-01,github_octoverse
c#,316024,2020-04-01,github_octoverse
c#,278553,2020-07-01,github_octoverse
c#,323168,2020-10-01,github_octoverse
c#,328870,2021-01-01,github_octoverse
c#,338455,2021-04-01,github_octoverse
c#,294536,2021-07-01,github_octoverse
c#,352519,2021-10-01,github_octoverse
c#,363812,2022-01-01,github_octoverse
c#,387946,2022-04-01,github_octoverse
c#,350366,2022-07-01,github_octoverse
c#,410308,2022-10-01,github_octoverse
c#,424337,2023-01-01,github_octoverse
c#,432826,2023-04-01,github_octoverse
c#,378008,2023-07-01,github_octoverse
c#,442686,2023-10-01,github_octoverse
c#,452443,2024-01-01,github_octoverse
c#,466519,2024-04-01,github_octoverse
c#,398623,2024-07-01,github_octoverse
c#,467240,2024-10-01,github_octoverse
c#,484521,2025-01-01,github_octoverse
c#,522780,2025-04-01,github_octoverse
c#,456360,2025-07-01,github_octoverse
c#,534157,2025-10-01,github_octoverse
c++,405616,2020-01-01,github_octoverse
c++,443303,2020-04-01,github_octoverse
c++,401423,2020-07-01,github_octoverse
c++,462320,2020-10-01,github_octoverse
c++,452907,2021-01-01,github_octoverse
c++,455042,2021-04-01,github_octoverse
c++,402078,2021-07-01,github_octoverse
c++,470932,2021-10-01,github_octoverse
c++,486903,2022-01-01,github_octoverse
c++,539769,2022-04-01,github_octoverse
c++,508683,2022-07-01,github_octoverse
c++,600253,2022-10-01,github_octoverse
c++,599671,2023-01-01,github_octoverse
c++,620709,2023-04-01,github_octoverse
c++,573689,2023-07-01,github_octoverse
c++,652716,2023-10-01,github_octoverse
c++,663079,2024-01-01,github_octoverse
c++,696063,2024-04-01,github_octoverse
c++,640797,2024-07-01,github_octoverse
c++,722855,2024-10-01,github_octoverse
c++,744771,2025-01-01,github_octoverse
c++,817435,2025-04-01,github_octoverse
c++,768122,2025-07-01,github_octoverse
c++,891073,2025-10-01,github_octoverse
go,126005,2020-01-01,github_octoverse
go,140361,2020-04-01,github_octoverse
go,144890,2020-07-01,github_octoverse
go,158151,2020-10-01,github_octoverse
go,152481,2021-01-01,github_octoverse
go,157041,2021-04-01,github_octoverse
go,163001,2021-07-01,github_octoverse
go,187706,2021-10-01,github_octoverse
go,191079,2022-01-01,github_octoverse
go,197928,2022-04-01,github_octoverse
go,199118,2022-07-01,github_octoverse
go,220644,2022-10-01,github_octoverse
go,218750,2023-01-01,github_octoverse
go,220440,2023-04-01,github_octoverse
go,218716,2023-07-01,github_octoverse
go,238247,2023-10-01,github_octoverse
go,241242,2024-01-01,github_octoverse
go,246820,2024-04-01,github_octoverse
go,248115,2024-07-01,github_octoverse
go,264039,2024-10-01,github_octoverse
go,272867,2025-01-01,github_octoverse
go,292001,2025-04-01,github_octoverse
go,292739,2025-07-01,github_octoverse
go,321565,2025-10-01,github_octoverse
java,720340,2020-01-01,github_octoverse
java,778731,2020-04-01,github_octoverse
java,687704,2020-07-01,github_octoverse
java,754043,2020-10-01,github_octoverse
java,742662,2021-01-01,github_octoverse
java,780894,2021-04-01,github_octoverse
java,675296,2021-07-01,github_octoverse
java,765669,2021-10-01,github_octoverse
java,797951,2022-01-01,github_octoverse
java,841455,2022-04-01,github_octoverse
java,774649,2022-07-01,github_octoverse
java,883955,2022-10-01,github_octoverse
java,889716,2023-01-01,github_octoverse
java,920931,2023-04-01,github_octoverse
java,814264,2023-07-01,github_octoverse
java,908666,2023-10-01,github_octoverse
java,899309,2024-01-01,github_octoverse
java,926787,2024-04-01,github_octoverse
java,818013,2024-07-01,github_octoverse
java,917654,2024-10-01,github_octoverse
java,928222,2025-01-01,github_octoverse
java,1019640,2025-04-01,github_octoverse
java,923847,2025-07-01,github_octoverse
java,1037822,2025-10-01,github_octoverse
javascript,1674530,2020-01-01,github_octoverse
javascript,1905586,2020-04-01,github_octoverse
javascript,1840880,2020-07-01,github_octoverse
javascript,1944738,2020-10-01,github_octoverse
javascript,2031389,2021-01-01,github_octoverse
javascript,2173870,2021-04-01,github_octoverse
javascript,2058201,2021-07-01,github_octoverse
javascript,2192171,2021-10-01,github_octoverse
javascript,2389035,2022-01-01,github_octoverse
javascript,2571981,2022-04-01,github_octoverse
javascript,2494880,2022-07-01,github_octoverse
javascript,2702788,2022-10-01,github_octoverse
javascript,2814795,2023-01-01,github_octoverse
javascript,2964517,2023-04-01,github_octoverse
javascript,2844963,2023-07-01,github_octoverse
javascript,3047854,2023-10-01,github_octoverse
javascript,3197729,2024-01-01,github_octoverse
javascript,3339839,2024-04-01,github_octoverse
javascript,3260775,2024-07-01,github_octoverse
javascript,3516423,2024-10-01,github_octoverse
javascript,3734592,2025-01-01,github_octoverse
javascript,4273417,2025-04-01,github_octoverse
javascript,4372941,2025-07-01,github_octoverse
javascript,4796513,2025-10-01,github_octoverse
kotlin,101046,2020-01-01,github_octoverse
kotlin,122396,2020-04-01,github_octoverse
kotlin,121526,2020-07-01,github_octoverse
kotlin,141781,2020-10-01,github_octoverse
kotlin,143493,2021-01-01,github_octoverse
kotlin,162147,2021-04-01,github_octoverse
kotlin,151886,2021-07-01,github_octoverse
kotlin,180022,2021-10-01,github_octoverse
kotlin,182627,2022-01-01,github_octoverse
kotlin,198604,2022-04-01,github_octoverse
kotlin,190243,2022-07-01,github_octoverse
kotlin,223438,2022-10-01,github_octoverse
kotlin,225816,2023-01-01,github_octoverse
kotlin,243345,2023-04-01,github_octoverse
kotlin,230452,2023-07-01,github_octoverse
kotlin,254850,2023-10-01,github_octoverse
kotlin,264236,2024-01-01,github_octoverse
kotlin,283162,2024-04-01,github_octoverse
kotlin,260575,2024-07-01,github_octoverse
kotlin,295958,2024-10-01,github_octoverse
kotlin,299276,2025-01-01,github_octoverse
kotlin,344293,2025-04-01,github_octoverse
kotlin,328390,2025-07-01,github_octoverse
kotlin,380046,2025-10-01,github_octoverse
perl,94235,2020-01-01,github_octoverse
perl,98804,2020-04-01,github_octoverse
perl,91567,2020-07-01,github_octoverse
perl,98328,2020-10-01,github_octoverse
perl,94344,2021-01-01,github_octoverse
perl,93655,2021-04-01,github_octoverse
perl,91869,2021-07-01,github_octoverse
perl,97525,2021-10-01,github_octoverse
perl,97148,2022-01-01,github_octoverse
perl,97255,2022-04-01,github_octoverse
perl,95218,2022-07-01,github_octoverse
perl,103289,2022-10-01,github_octoverse
perl,105756,2023-01-01,github_octoverse
perl,103246,2023-04-01,github_octoverse
perl,101574,2023-07-01,github_octoverse
perl,108527,2023-10-01,github_octoverse
perl,107997,2024-01-01,github_octoverse
perl,110783,2024-04-01,github_octoverse
perl,108474,2024-07-01,github_octoverse
perl,114977,2024-10-01,github_octoverse
perl,119036,2025-01-01,github_octoverse
perl,122333,2025-04-01,github_octoverse
perl,121224,2025-07-01,github_octoverse
perl,127988,2025-10-01,github_octoverse
php,359337,2020-01-01,github_octoverse
php,397642,2020-04-01,github_octoverse
php,364263,2020-07-01,github_octoverse
php,394577,2020-10-01,github_octoverse
php,393964,2021-01-01,github_octoverse
php,411792,2021-04-01,github_octoverse
php,363133,2021-07-01,github_octoverse
php,399590,2021-10-01,github_octoverse
php,410264,2022-01-01,github_octoverse
php,436020,2022-04-01,github_octoverse
php,387847,2022-07-01,github_octoverse
php,437410,2022-10-01,github_octoverse
php,438074,2023-01-01,github_octoverse
php,460095,2023-04-01,github_octoverse
php,409361,2023-07-01,github_octoverse
php,464063,2023-10-01,github_octoverse
php,461226,2024-01-01,github_octoverse
php,496368,2024-04-01,github_octoverse
php,437526,2024-07-01,github_octoverse
php,496797,2024-10-01,github_octoverse
php,498370,2025-01-01,github_octoverse
php,558136,2025-04-01,github_octoverse
php,490851,2025-07-01,github_octoverse
php,558373,2025-10-01,github_octoverse
python,977900,2020-01-01,github_octoverse
python,1132551,2020-04-01,github_octoverse
python,1059882,2020-07-01,github_octoverse
python,1170038,2020-10-01,github_octoverse
python,1201445,2021-01-01,github_octoverse
python,1272230,2021-04-01,github_octoverse
python,1170519,2021-07-01,github_octoverse
python,1310888,2021-10-01,github_octoverse
python,1383858,2022-01-01,github_octoverse
python,1462393,2022-04-01,github_octoverse
python,1411560,2022-07-01,github_octoverse
python,1623098,2022-10-01,github_octoverse
python,1655597,2023-01-01,github_octoverse
python,1784682,2023-04-01,github_octoverse
python,1693151,2023-07-01,github_octoverse
python,1907885,2023-10-01,github_octoverse
python,1951302,2024-01-01,github_octoverse
python,2119795,2024-04-01,github_octoverse
python,2005567,2024-07-01,github_octoverse
python,2299134,2024-10-01,github_octoverse
python,2501442,2025-01-01,github_octoverse
python,2994509,2025-04-01,github_octoverse
python,2985880,2025-07-01,github_octoverse
python,3457974,2025-10-01,github_octoverse
r,77481,2020-01-01,github_octoverse
r,93549,2020-04-01,github_octoverse
r,85711,2020-07-01,github_octoverse
r,94475,2020-10-01,github_octoverse
r,90997,2021-01-01,github_octoverse
r,91267,2021-04-01,github_octoverse
r,83846,2021-07-01,github_octoverse
r,92921,2021-10-01,github_octoverse
r,93982,2022-01-01,github_octoverse
r,94435,2022-04-01,github_octoverse
r,87894,2022-07-01,github_octoverse
r,98062,2022-10-01,github_octoverse
r,98525,2023-01-01,github_octoverse
r,98192,2023-04-01,github_octoverse
r,91324,2023-07-01,github_octoverse
r,100955,2023-10-01,github_octoverse
r,101723,2024-01-01,github_octoverse
r,104687,2024-04-01,github_octoverse
r,96477,2024-07-01,github_octoverse
r,106949,2024-10-01,github_octoverse
r,109191,2025-01-01,github_octoverse
r,113393,2025-04-01,github_octoverse
r,108219,2025-07-01,github_octoverse
r,119167,2025-10-01,github_octoverse
ruby,328975,2020-01-01,github_octoverse
ruby,448573,2020-04-01,github_octoverse
ruby,429450,2020-07-01,github_octoverse
ruby,430705,2020-10-01,github_octoverse
ruby,437347,2021-01-01,github_octoverse
ruby,443083,2021-04-01,github_octoverse
ruby,348027,2021-07-01,github_octoverse
ruby,336391,2021-10-01,github_octoverse
ruby,347597,2022-01-01,github_octoverse
ruby,341118,2022-04-01,github_octoverse
ruby,322269,2022-07-01,github_octoverse
ruby,333854,2022-10-01,github_octoverse
ruby,338111,2023-01-01,github_octoverse
ruby,330707,2023-04-01,github_octoverse
ruby,319163,2023-07-01,github_octoverse
ruby,338118,2023-10-01,github_octoverse
ruby,341882,2024-01-01,github_octoverse
ruby,338495,2024-04-01,github_octoverse
ruby,330110,2024-07-01,github_octoverse
ruby,336622,2024-10-01,github_octoverse
ruby,342379,2025-01-01,github_octoverse
ruby,351338,2025-04-01,github_octoverse
ruby,353420,2025-07-01,github_octoverse
ruby,366963,2025-10-01,github_octoverse
rust,38012,2020-01-01,github_octoverse
rust,44097,2020-04-01,github_octoverse
rust,44795,2020-07-01,github_octoverse
rust,56970,2020-10-01,github_octoverse
rust,51814,2021-01-01,github_octoverse
rust,55622,2021-04-01,github_octoverse
rust,59538,2021-07-01,github_octoverse
rust,78708,2021-10-01,github_octoverse
rust,78775,2022-01-01,github_octoverse
rust,86455,2022-04-01,github_octoverse
rust,94734,2022-07-01,github_octoverse
rust,123368,2022-10-01,github_octoverse
rust,121705,2023-01-01,github_octoverse
rust,132310,2023-04-01,github_octoverse
rust,135205,2023-07-01,github_octoverse
rust,159986,2023-10-01,github_octoverse
rust,161356,2024-01-01,github_octoverse
rust,160056,2024-04-01,github_octoverse
rust,159704,2024-07-01,github_octoverse
rust,183547,2024-10-01,github_octoverse
rust,185293,2025-01-01,github_octoverse
rust,196067,2025-04-01,github_octoverse
rust,203798,2025-07-01,github_octoverse
rust,240299,2025-10-01,github_octoverse
scala,32233,2020-01-01,github_octoverse
scala,35243,2020-04-01,github_octoverse
scala,30615,2020-07-01,github_octoverse
scala,36560,2020-10-01,github_octoverse
scala,31104,2021-01-01,github_octoverse
scala,31571,2021-04-01,github_octoverse
scala,28755,2021-07-01,github_octoverse
scala,33082,2021-10-01,github_octoverse
scala,30957,2022-01-01,github_octoverse
scala,30701,2022-04-01,github_octoverse
scala,29367,2022-07-01,github_octoverse
scala,35223,2022-10-01,github_octoverse
scala,31886,2023-01-01,github_octoverse
scala,31029,2023-04-01,github_octoverse
scala,28633,2023-07-01,github_octoverse
scala,32802,2023-10-01,github_octoverse
scala,30041,2024-01-01,github_octoverse
scala,28883,2024-04-01,github_octoverse
scala,26535,2024-07-01,github_octoverse
scala,28868,2024-10-01,github_octoverse
scala,26900,2025-01-01,github_octoverse
scala,26910,2025-04-01,github_octoverse
scala,25393,2025-07-01,github_octoverse
scala,27530,2025-10-01,github_octoverse
swift,89259,2020-01-01,github_octoverse
swift,106180,2020-04-01,github_octoverse
swift,104525,2020-07-01,github_octoverse
swift,115883,2020-10-01,github_octoverse
swift,114664,2021-01-01,github_octoverse
swift,127318,2021-04-01,github_octoverse
swift,122172,2021-07-01,github_octoverse
swift,135861,2021-10-01,github_octoverse
swift,141908,2022-01-01,github_octoverse
swift,152947,2022-04-01,github_octoverse
swift,149409,2022-07-01,github_octoverse
swift,166075,2022-10-01,github_octoverse
swift,172104,2023-01-01,github_octoverse
swift,185240,2023-04-01,github_octoverse
swift,180700,2023-07-01,github_octoverse
swift,196131,2023-10-01,github_octoverse
swift,198636,2024-01-01,github_octoverse
swift,209065,2024-04-01,github_octoverse
swift,201517,2024-07-01,github_octoverse
swift,219720,2024-10-01,github_octoverse
swift,233356,2025-01-01,github_octoverse
swift,267782,2025-04-01,github_octoverse
swift,267287,2025-07-01,github_octoverse
swift,303793,2025-10-01,github_octoverse
typescript,306095,2020-01-01,github_octoverse
typescript,367805,2020-04-01,github_octoverse
typescript,372279,2020-07-01,github_octoverse
typescript,395619,2020-10-01,github_octoverse
typescript,431766,2021-01-01,github_octoverse
typescript,481669,2021-04-01,github_octoverse
typescript,472224,2021-07-01,github_octoverse
typescript,530695,2021-10-01,github_octoverse
typescript,597496,2022-01-01,github_octoverse
typescript,652366,2022-04-01,github_octoverse
typescript,674344,2022-07-01,github_octoverse
typescript,744070,2022-10-01,github_octoverse
typescript,827912,2023-01-01,github_octoverse
typescript,899101,2023-04-01,github_octoverse
typescript,891746,2023-07-01,github_octoverse
typescript,967388,2023-10-01,github_octoverse
typescript,1062491,2024-01-01,github_octoverse
typescript,1109117,2024-04-01,github_octoverse
typescript,1110826,2024-07-01,github_octoverse
typescript,1232206,2024-10-01,github_octoverse
typescript,1407181,2025-01-01,github_octoverse
typescript,1684851,2025-04-01,github_octoverse
typescript,1844894,2025-07-01,github_octoverse
typescript,2175422,2025-10-01,github_octoverse
